,number,work,volume,page,panel,metaphor,type1,type2,type3,,,,,
Sample_1,2318,March comes in Like a Lion (Sangatsu no Lion),1,29,2,included,d,,,,,,,
Sample_2,2338,March comes in Like a Lion (Sangatsu no Lion),1,174,"4,5",included,d,,,,,,,
Sample_3,2339,March comes in Like a Lion (Sangatsu no Lion),1,177,"2,3,4,5",included,a,,,,,,,
Sample_4,2345,March comes in Like a Lion (Sangatsu no Lion),2,20,"1,2,3",included,d,,,,,,,
Sample_5,2347,March comes in Like a Lion (Sangatsu no Lion),2,21,"1,2,3",included,d,,,,,,,
Sample_6,2349,March comes in Like a Lion (Sangatsu no Lion),2,22,"1,2,3",included,a,c,d,,,,,
Sample_7,2657,March comes in Like a Lion (Sangatsu no Lion),3,"10,11","6,7",included,d,,,,,,,
Sample_8,2658,March comes in Like a Lion (Sangatsu no Lion),3,12,"1,2",included,d,,,,,,,
Sample_9,2659,March comes in Like a Lion (Sangatsu no Lion),3,17,"3,5",included,d,,,,,,,
Sample_10,2660,March comes in Like a Lion (Sangatsu no Lion),3,55,"4,5",included,a,b,,,,,,
Sample_11,2661,March comes in Like a Lion (Sangatsu no Lion),3,"56,57","3,4,5,7,8,9",included,a,,,,,,,
Sample_12,2663,March comes in Like a Lion (Sangatsu no Lion),3,87,10,included,a,,,,,,,
Sample_13,2664,March comes in Like a Lion (Sangatsu no Lion),3,139,1,included,a,d,,,,,,
Sample_14,2665,March comes in Like a Lion (Sangatsu no Lion),3,"140,141","6,9",included,d,,,,,,,
Sample_15,2666,March comes in Like a Lion (Sangatsu no Lion),3,143,5,included,d,,,,,,,
Sample_16,2669,March comes in Like a Lion (Sangatsu no Lion),4,15,"1,2,3,4",included,a,,,,,,,
Sample_17,2670,March comes in Like a Lion (Sangatsu no Lion),4,67,1,included,d,,,,,,,
Sample_18,2671,March comes in Like a Lion (Sangatsu no Lion),4,69,3,included,b,,,,,,,
Sample_19,2672,March comes in Like a Lion (Sangatsu no Lion),4,77,"1,2,3",included,a,,,,,,,
Sample_20,2673,March comes in Like a Lion (Sangatsu no Lion),4,78,"1,2",included,a,,,,,,,
Sample_21,2674,March comes in Like a Lion (Sangatsu no Lion),4,86,"1,2,3",included,a,,,,,,,
Sample_22,2675,March comes in Like a Lion (Sangatsu no Lion),4,114,1,included,a,,,,,,,
Sample_23,2676,March comes in Like a Lion (Sangatsu no Lion),4,119,2,included,d,,,,,,,
Sample_24,2677,March comes in Like a Lion (Sangatsu no Lion),4,159,2,included,d,,,,,,,
Sample_25,2678,March comes in Like a Lion (Sangatsu no Lion),4,175,"1,4",included,d,,,,,,,
Sample_26,2679,March comes in Like a Lion (Sangatsu no Lion),5,60,"3,5",included,c,,,,,,,
Sample_27,2680,March comes in Like a Lion (Sangatsu no Lion),5,63,"4,5,6",included,d,,,,,,,
Sample_28,2681,March comes in Like a Lion (Sangatsu no Lion),5,91,1,included,a,d,,,,,,
Sample_29,2682,March comes in Like a Lion (Sangatsu no Lion),5,151,2,included,d,,,,,,,
Sample_30,2683,March comes in Like a Lion (Sangatsu no Lion),6,"34,35","4,5",included,d,,,,,,,
Sample_31,2684,March comes in Like a Lion (Sangatsu no Lion),6,80,5,included,d,,,,,,,
Sample_32,2685,March comes in Like a Lion (Sangatsu no Lion),6,85,4,included,b,,,,,,,
Sample_33,2686,March comes in Like a Lion (Sangatsu no Lion),6,104,3,included,b,d,,,,,,
Sample_34,2687,March comes in Like a Lion (Sangatsu no Lion),6,161,"1,2",included,d,,,,,,,
Sample_35,2688,March comes in Like a Lion (Sangatsu no Lion),7,14,5,included,d,,,,,,,
Sample_36,2690,March comes in Like a Lion (Sangatsu no Lion),7,168,4,included,,,,,,,,
Sample_37,2691,March comes in Like a Lion (Sangatsu no Lion),8,"10,11","3,5",included,a,,,,,,,
Sample_38,2692,March comes in Like a Lion (Sangatsu no Lion),8,25,"2,3",included,d,,,,,,,
Sample_39,2693,March comes in Like a Lion (Sangatsu no Lion),8,101,2,included,d,,,,,,,
Sample_40,2694,March comes in Like a Lion (Sangatsu no Lion),8,"104,105","1,2,3",included,d,,,,,,,
